name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,rating
100% Bran,N,C,70,4,1,130,10,5,6,280,25,68.40
100% Natural Bran,Q,C,120,3,5,15,2,8,8,135,0,33.98
All-Bran,K,C,70,4,1,260,9,7,5,320,25,59.43
All-Bran with Extra Fiber,K,C,50,4,0,140,14,8,0,330,25,93.70
Almond Delight,R,C,110,2,2,200,1,14,8,-1,25,34.38
Apple Cinnamon Cheerios,G,C,110,2,2,180,1.5,10.5,10,70,25,29.50
Apple Jacks,K,C,110,2,0,125,1,11,14,30,25,33.17
Basic 4,G,C,130,3,2,210,2,18,8,100,25,37.03
Bran Chex,R,C,90,2,1,200,4,15,6,125,25,49.12
Bran Flakes,P,C,90,3,0,210,5,13,5,190,25,53.31
Cap'n'Crunch,Q,C,120,-1,2,220,0,12,12,35,25,18.04
Cheerios,G,C,110,6,2,290,2,17,1,105,25,50.76
Cinnamon Toast Crunch,G,C,120,1,3,210,0,13,9,45,25,19.82
Clusters,G,C,110,3,2,140,2,13,7,105,25,40.40
Cocoa Puffs,G,C,110,1,1,180,0,12,13,55,25,22.73
Outlier O's,X,C,300,2,1,1000,1,-1,50,10,100,10.50
